PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-09,20:31:58.01,1,1,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Gotta, Cade",657598,Right,ROJ_MEX,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.00159,-2.787001,-2.518885,2147.441859,203.027405,12:45,6.23358,0.75239,6.53807,-21.41808,12.52331,4.93685,1.88805,-1.14798,82.89997,-6.79991,-1.622474,0.419311,,,,,,,,,,,,-3.17335,7.52209,-0.57981,50,6.03079,5.50566,-129.36934,-6.92158,-5.46946,22.68518,-19.20917,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,90956ee0-2d3e-11f0-93d4-750cba3b6d56,89.89137,,,6.10163,,,,,,,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:31:58.01,2025-05-09T20:31:58.0172800-05:00,2025-05-10T01:31:58.0172800Z,,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,b6140848-3634-477d-b589-9c457a1c4765,53.96113,-130.06208,11.34259,6.2332,-6.33499,-9.60458,-0.75048,5.67268,-2.73473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-09,20:32:12.44,1,2,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Gotta, Cade",657598,Right,ROJ_MEX,Undefined,1,Top,0,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.75323,-1.53799,-1.825351,2130.724219,212.187572,1:00,6.20646,0.82228,6.77218,-21.31804,12.4693,7.27622,3.02457,-0.23866,82.43908,-5.567908,-0.497529,0.418358,79.75486,60.728966,60.16035,5334.843266,30.86401,126.28459,105.58119,195.60648,65.51689,77.667848,5.574856,-4.32453,7.27473,-0.70595,50,6.09776,3.86266,-129.22164,-4.05131,-7.41827,23.26717,-19.69502,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,99425990-2d3e-11f0-93d4-750cba3b6d56,90.09604,126.37972,,6.31415,,,,1.68723,2.91163,0.23606,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:32:12.44,2025-05-09T20:32:12.4443648-05:00,2025-05-10T01:32:12.4443648Z,Popup,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,c2ea169f-8f77-4e6a-b8d5-024fcfc94f2b,53.72834,-129.89121,11.63358,6.20619,-3.48453,-9.84751,-0.82018,4.07615,-3.70914,,1.69374,28.25485,-11.8633,1.81879,0.99314,-0.6945,0.18345,-0.02275,0.00109,2.89128,102.38917,-27.24358,4.60315,-1.62086,0.43435,-0.06742,0.00504,-0.00012,0.23375,49.64087,-6.54172,1.37068,-0.20542,0.01288,0.0019,-0.00038,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-05-09,20:32:40.69,1,3,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Gotta, Cade",657598,Right,ROJ_MEX,Undefined,1,Top,0,1,1,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.34031,-1.839118,-1.168599,2128.765705,186.346546,12:15,6.17718,0.96527,6.68625,-21.0506,13.09658,1.35677,2.73997,0.00938,82.25697,-5.80776,-0.921316,0.42058,80.24559,66.739699,3.877187,,109.99933,110.92804,0.3759,139.67256,131.01402,-0.047215,5.951988,-0.99539,7.65059,-0.88789,50,6.04583,2.57656,-128.64297,-4.71113,-1.69559,22.55817,-19.14185,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,aa1e4c60-2d3e-11f0-93d4-750cba3b6d56,89.62007,144.94148,,6.08334,,,,2.90147,2.28938,-0.40521,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:32:40.69,2025-05-09T20:32:40.6930944-05:00,2025-05-10T01:32:40.6930944Z,Popup,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,b1112974-47d9-46dc-8cdd-d047fc87705c,53.81448,-129.31012,11.27909,6.17679,-4.14501,-9.57093,-0.96483,2.62671,-0.84779,177.075669,2.90943,46.21416,-12.67058,2.94622,-0.20901,-0.07912,0.02643,-0.00333,0.00016,2.27413,108.37571,-26.38554,3.93976,-1.21144,0.3147,-0.05517,0.00531,-0.00021,-0.40495,3.13461,-1.96158,0.5805,-0.10795,0.01348,-0.00089,-1E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2025-05-09,20:33:15.73,2,1,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Castillo, Ali",542419,Right,ROJ_MEX,Undefined,1,Top,1,0,0,Undefined,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,88.61892,-2.557747,-1.388714,2167.743427,208.729962,1:00,6.20983,0.81282,6.63762,-23.22009,10.55024,5.34012,1.9311,-0.01371,83.26368,-6.888635,-0.415908,0.418253,70.41042,-55.972364,-24.715616,,,,,3.96453,3.96453,-8.445317,0.024212,-3.13914,6.37067,-0.72123,50,6.02717,2.94174,-129.06182,-6.43849,-5.42792,20.52275,-21.15841,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,bf056730-2d3e-11f0-93d4-750cba3b6d56,90.11879,2.0785,,5.35524,,,,2.64668,2.0785,0.00454,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:33:15.73,2025-05-09T20:33:15.7367808-05:00,2025-05-10T01:33:15.7367808Z,GroundBall,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,7a653a44-23c2-4db9-a4db-1d02d4513a48,53.864,-129.6748,10.26138,6.21004,-5.80653,-10.5792,-0.81151,3.10386,-2.71396,,2.64605,52.65403,,,,,,,,2.07951,-85.84561,,,,,,,,0.00483,-24.23554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2025-05-09,20:34:05.34,3,1,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.49171,-3.265661,-2.852165,2157.057928,204.36531,12:45,6.20901,0.75018,6.5933,-19.65497,13.70158,5.82485,1.57207,-1.3798,83.80278,-6.947457,-1.793932,0.415683,,,,,,,,,,,,-3.68666,8.20319,-0.55755,50,5.97695,6.26628,-130.07298,-7.98675,-6.46153,21.38878,-17.79641,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,dc961150-2d3e-11f0-93d4-750cba3b6d56,90.67601,,,5.68893,,,,,,,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:34:05.34,2025-05-09T20:34:05.3449216-05:00,2025-05-10T01:34:05.3449216Z,,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,7b467282-f514-4f6b-9be7-43bc0c56990e,53.90696,-130.71385,10.69439,6.20827,-7.45352,-8.89821,-0.74821,6.45988,-3.23077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-09,20:34:23.85,3,2,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,2,1,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.31623,0.450156,-0.899715,2321.291525,159.666013,11:15,6.18758,0.90637,6.26847,-27.36694,7.97839,-2.63492,4.32206,-0.14271,81.4897,-4.63829,-1.376002,0.427895,,,,,,,,,,,,1.17752,4.3389,-0.83858,50,6.2073,2.09791,-127.18404,0.13932,1.9704,20.80053,-24.91354,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,e7839d30-2d3e-11f0-93d4-750cba3b6d56,88.08797,,,5.82653,,,,,,,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:34:23.85,2025-05-09T20:34:23.8515200-05:00,2025-05-10T01:34:23.8515200Z,,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,a66ee841-ab4a-4708-8266-0f30796b21ea,54.23141,-127.8742,10.40027,6.18896,0.96595,-12.45677,-0.9071,2.03253,0.9852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-09,20:34:42.27,3,3,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,2,2,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.07797,-1.702327,-2.029929,2136.126384,200.363686,12:45,6.19548,0.81399,6.64197,-20.25663,12.59359,4.36142,2.94772,-0.68148,83.98585,-5.516581,-1.236269,0.412516,78.00242,16.386675,-170.349825,1675.129165,,,,,45.16216,,,-2.7791,7.31307,-0.67879,50,6.07202,4.49066,-131.1452,-4.47518,-4.93199,22.79505,-19.19573,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,f293f350-2d3e-11f0-93d4-750cba3b6d56,91.37213,13.60083,,6.09212,,,,3.44063,2.88854,0.90586,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:34:42.27,2025-05-09T20:34:42.2798336-05:00,2025-05-10T01:34:42.2798336Z,,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,b47de5db-ea8f-4dcd-b167-1dca4b431679,53.85887,-131.81422,11.39753,6.1951,-3.9118,-9.59787,-0.81272,4.63541,-2.46599,10.82659,3.43122,-107.93377,11.75808,,,,,,,2.89778,32.01069,-19.61426,,,,,,,0.90403,-18.34621,2.16659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-05-09,20:35:05.57,3,4,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,2,2,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.19836,-1.70718,-2.565516,2263.237624,125.188224,10:15,6.18908,0.66911,6.21384,-32.71935,4.82949,-5.43264,1.88496,-2.15277,79.45928,-7.733493,-3.545999,0.441032,,,,,,,,,,,,2.26898,3.14516,-0.47389,50,6.04412,5.74318,-123.90757,-4.71237,3.57243,21.80336,-27.22208,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,0072abb0-2d3f-11f0-93d4-750cba3b6d56,85.46426,,,5.73908,,,,,,,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:35:05.57,2025-05-09T20:35:05.5714304-05:00,2025-05-10T01:35:05.5714304Z,,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,3edbe7c2-f0d0-43ab-af1d-761610209428,54.28848,-124.65991,10.90168,6.19052,-3.77305,-13.61104,-0.66994,5.61991,1.78622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-09,20:35:22.89,3,5,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,2,3,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.47476,-3.243047,-1.201896,2320.064349,149.956055,11:00,6.16502,0.55887,6.30234,-26.32899,9.05504,-4.70701,0.97927,-0.94085,81.86243,-8.104882,-2.05429,0.428129,,,,,,,,,,,,2.20142,5.74709,-0.46842,50,5.91389,2.84307,-127.19304,-8.0244,3.67194,21.64269,-22.588,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,0acf9050-2d3f-11f0-93d4-750cba3b6d56,88.03986,,,5.61232,,,,,,,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:35:22.89,2025-05-09T20:35:22.8958208-05:00,2025-05-10T01:35:22.8958208Z,,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,256be737-3856-4a46-8094-190c0e929cee,54.19826,-127.90541,10.82135,6.16578,-7.28092,-11.294,-0.56001,2.72221,1.83597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-09,20:35:45.81,3,6,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,2,3,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.4714,-1.816817,-1.135872,2169.339048,198.896603,12:45,6.14409,0.75651,6.72726,-19.59816,12.95501,4.13626,2.84967,0.06301,84.06536,-5.523387,-0.381401,0.410646,,,,,,,,,,,,-2.42288,7.55272,-0.68279,50,6.01619,2.44944,-131.67854,-4.71603,-4.32373,23.66901,-18.69593,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250509-Panamericano-1,185f8c70-2d3f-11f0-93d4-750cba3b6d56,91.7881,,,6.40604,,,,,,,b3d2c704-1614-4a9c-a8c7-475466ba55e8,2025-05-10,01:35:45.81,2025-05-09T20:35:45.8176512-05:00,2025-05-10T01:35:45.8176512Z,,v3,6304,536,809134,"Mendivil, Carlos",641104,Right,CHA_JAL1,e3158729-f0c6-4040-94c5-fc8d4fa7a40d,53.76958,-132.35438,11.8345,6.14323,-4.18219,-9.34797,-0.75449,2.5729,-2.16186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
