PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-07,20:45:55.27,1,1,"Rios, Wilmer",658140,Right,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.89704,-3.06648,-3.210279,2371.603214,204.016334,12:45,5.80317,1.08965,5.53741,-16.48044,17.09895,7.14697,1.55645,-1.31842,84.26926,-6.159769,-1.938655,0.417069,,,,,,,,,,,,-4.46701,9.78252,-0.81583,50,5.52582,7.14107,-133.09782,-7.67807,-8.04266,27.57916,-14.56109,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,2ef41f60-2bae-11f0-9e3d-85a297e961a6,90.37458,,,7.62778,,,,,,,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:45:55.27,2025-05-07T20:45:55.2779776-05:00,2025-05-08T01:45:55.2779776Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,2611a467-042b-45a8-b055-975aa4c63cd8,54.96013,-134.12167,13.78958,5.80083,-7.1375,-7.28054,-1.08648,7.43964,-4.02133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-07,20:46:10.20,1,2,"Rios, Wilmer",658140,Right,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,1,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,HomeRun,0,1,,90.09903,-1.753871,-1.206548,2320.024866,200.642557,12:45,5.83459,0.99994,5.51393,-17.13985,17.6493,6.24481,2.76541,0.39197,82.63374,-4.977873,-0.09363,0.424515,100.22993,47.423267,-37.510206,3655.574634,,,,,72.03895,,,-3.50516,9.73564,-0.89922,50,5.67052,2.48326,-130.81795,-4.56287,-6.09535,26.69308,-15.24412,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,37d11ac0-2bae-11f0-9e3d-85a297e961a6,88.78937,78.67327,,7.46528,,,,2.56918,3.09273,-0.1838,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:46:10.20,2025-05-07T20:46:10.2048768-05:00,2025-05-08T01:46:10.2048768Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,a2285c1f-30ae-4cb0-87fb-fbbb6e6070ca,54.98508,-131.83122,13.34654,5.83274,-3.9842,-7.62206,-0.99788,2.71464,-3.04767,175.755555,2.56918,78.89557,-19.63861,5.48493,-1.3686,0.34539,-0.08684,0.01914,-0.00259,3.09273,108.24936,-23.23547,2.09288,-0.27371,0.01415,0.00464,-0.00195,0.00029,-0.1838,-60.56104,13.60542,-3.69143,0.89962,-0.22329,0.05542,-0.01207,0.00161,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
3,2025-05-07,20:46:57.94,2,1,"Rios, Wilmer",658140,Right,ACE_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,0,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.30338,-1.481552,-2.425998,2549.429437,114.006474,9:45,5.49451,1.30713,5.13749,-39.3264,3.92658,-5.25469,0.82067,-1.41653,74.51066,-8.645625,-3.356121,0.473347,,,,,,,,,,,,1.80256,2.9304,-1.0755,50,5.32567,5.27222,-119.06232,-4.50793,2.54121,26.67213,-28.04283,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,5455d320-2bae-11f0-9e3d-85a297e961a6,79.62967,,,7.79272,,,,,,,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:46:57.94,2025-05-07T20:46:57.9435008-05:00,2025-05-08T01:46:57.9435008Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,fe686c87-cd2a-470a-89c6-3be5048a4ef9,55.35713,-120.25642,13.33606,5.49938,-3.25245,-14.02142,-1.30899,5.15845,1.27061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-07,20:47:13.98,2,2,"Rios, Wilmer",658140,Right,ACE_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.24534,-1.071062,-0.802021,2138.94064,247.156981,2:15,5.69452,1.15112,5.37635,-27.39915,6.54603,13.19178,2.40696,1.49851,84.16321,-6.089488,1.545295,0.419334,,,,,,,,,,,,-6.8337,3.87394,-1.08891,50,5.57926,1.25277,-132.57143,-3.52805,-12.25483,26.30981,-25.2269,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,5dd66180-2bae-11f0-9e3d-85a297e961a6,89.88634,,,7.08213,,,,,,,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:47:13.98,2025-05-07T20:47:13.9813888-05:00,2025-05-08T01:47:13.9813888Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,31de57a9-5c73-4a7d-9d1a-d6ecfc233510,55.12276,-133.58422,13.15491,5.69637,-2.55696,-12.61345,-1.14622,1.72451,-6.12741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-07,20:47:28.61,2,3,"Rios, Wilmer",658140,Right,ACE_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,0,2,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.39703,-2.006652,-1.688067,1164.710536,216.276871,1:15,5.85206,1.02628,5.2647,-19.62159,13.65839,9.3015,2.33026,0.21514,85.12147,-5.6359,-0.037971,0.415205,69.86779,64.17275,111.961067,5534.958058,,,,,28.64637,,,-5.11488,7.65808,-0.87906,50,5.65411,3.52357,-134.12126,-5.42265,-9.39321,26.78348,-18.11046,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,668ebde0-2bae-11f0-9e3d-85a297e961a6,90.78024,55.35884,,7.27556,,,,1.61801,2.48575,-0.20515,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:47:28.61,2025-05-07T20:47:28.6185984-05:00,2025-05-08T01:47:28.6185984Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,e72245e5-224d-400f-9db1-e9e839ff7580,55.23464,-135.16256,13.39174,5.85125,-4.71855,-9.05523,-1.02315,3.88877,-4.6966,332.871748,1.61802,-16.69611,-5.61748,1.59895,0.79439,-3.42521,5.08411,-3.46335,0.85199,2.48575,92.23671,-26.39504,3.0804,-0.53101,-0.20721,0.41128,-0.24017,0.0375,-0.20515,41.40369,-7.25632,1.35685,-0.15491,-0.21456,0.33509,-0.1959,0.03269,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-05-07,20:47:48.58,2,4,"Rios, Wilmer",658140,Right,ACE_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,0,2,1,Undefined,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.77869,-2.819265,-1.840605,1251.667052,201.912663,12:45,5.78532,1.05328,4.95221,-28.67348,6.87181,2.36626,0.72849,-0.48926,83.45615,-7.991546,-1.422862,0.429104,,,,,,,,,,,,-1.62291,4.37146,-0.87688,50,5.48798,4.07714,-130.25199,-7.56352,-2.82555,23.9121,-24.56314,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,727bb860-2bae-11f0-9e3d-85a297e961a6,87.8399,,,6.32255,,,,,,,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:47:48.58,2025-05-07T20:47:48.5890560-05:00,2025-05-08T01:47:48.5890560Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,194d8787-8bde-4b06-ba21-58ca305bebd3,55.54787,-131.26654,11.95605,5.78677,-6.52135,-12.28157,-1.05241,4.19702,-1.41278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-07,20:48:05.07,2,5,"Rios, Wilmer",658140,Right,ACE_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,0,3,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.67823,-1.164646,-2.511673,2343.21838,215.641918,1:15,5.78837,1.04768,5.52463,-20.69808,12.4852,8.3189,2.97353,-0.60869,85.13695,-4.990574,-1.030202,0.414602,,,,,,,,,,,,-4.78681,6.8626,-0.83491,50,5.67314,5.47392,-133.22725,-3.451,-8.75697,23.83538,-19.61967,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,7c4b9f40-2bae-11f0-9e3d-85a297e961a6,90.9124,,,6.54128,,,,,,,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:48:05.07,2025-05-07T20:48:05.0743296-05:00,2025-05-08T01:48:05.0743296Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,5ca8e3bd-2332-407e-b3ac-88116d50dfc1,54.9751,-134.11437,11.91769,5.78799,-2.72077,-9.80983,-1.04471,5.79984,-4.37848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-07,20:48:20.28,2,6,"Rios, Wilmer",658140,Right,ACE_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,0,3,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.56953,-2.335193,-2.503268,2359.372297,219.915761,1:15,5.73353,1.0389,5.97703,-19.73714,12.30414,9.57213,1.92081,-0.48538,86.04201,-6.008111,-0.78352,0.407405,79.48085,58.105899,67.168956,2745.539019,,,,,49.21209,,,-5.54059,7.15146,-0.84639,50,5.53755,5.48368,-134.53229,-6.14862,-10.32348,24.62799,-18.84917,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,85535420-2bae-11f0-9e3d-85a297e961a6,92.51839,71.56501,,6.52751,,,,1.18188,1.92453,0.56957,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:48:20.28,2025-05-07T20:48:20.2805248-05:00,2025-05-08T01:48:20.2805248Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,ad9858d5-f578-4167-bc55-b684d3895527,54.52376,-135.35789,12.314,5.73308,-5.51674,-9.42458,-1.03602,5.82975,-5.16174,209.211755,1.18188,23.89613,-14.52322,4.28489,0.58836,-2.46527,2.25449,-1.02887,0.19017,1.92453,98.97282,-27.07661,3.17049,-0.90871,0.72298,-0.60331,0.29022,-0.05881,0.56957,56.76542,-7.00965,1.2215,-0.25731,0.20801,-0.19081,0.09804,-0.02117,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2025-05-07,20:48:40.79,2,7,"Rios, Wilmer",658140,Right,ACE_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,0,3,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.78083,0.398163,-1.451938,1210.679448,146.327474,11:00,5.44346,1.34623,5.12803,-34.40502,8.26898,-4.68311,2.95149,-0.41176,75.42652,-5.879994,-2.28034,0.470168,67.49847,19.728431,175.658358,2600.333947,,,,,35.43917,,,1.97984,4.37087,-1.20606,50,5.45416,3.20349,-118.76097,-0.39066,2.84861,21.16127,-25.88519,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,919880c0-2bae-11f0-9e3d-85a297e961a6,80.16802,12.9503,,6.35431,,,,3.04311,3.0032,0.36636,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:48:40.79,2025-05-07T20:48:40.7943680-05:00,2025-05-08T01:48:40.7943680Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,5ce8de3f-97d5-400d-bba4-d3d343490f76,55.37133,-119.71423,10.58063,5.44549,0.7754,-12.9426,-1.34747,3.07517,1.4243,350.711122,3.04316,-92.92114,6.11449,,,,,,,3.01052,33.18736,-23.0612,,,,,,,0.36709,7.0316,-1.33776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
10,2025-05-07,20:48:59.68,2,8,"Rios, Wilmer",658140,Right,ACE_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,0,3,2,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.14176,-1.342401,-1.90938,2166.708157,244.991027,2:15,5.70819,1.08283,5.48708,-26.66293,7.45307,13.69087,2.22949,0.43678,83.54521,-6.252478,0.530564,0.420388,,,,,,,,,,,,-7.47619,4.43957,-0.92525,50,5.57245,3.80072,-132.29865,-4.09137,-13.26287,27.9766,-24.2982,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250507-Monclova-1,9cd51700-2bae-11f0-9e3d-85a297e961a6,89.66104,,,7.59655,,,,,,,f546f579-3a71-4050-b0eb-ab707ccf4efa,2025-05-08,01:48:59.68,2025-05-07T20:48:59.6805120-05:00,2025-05-08T01:48:59.6805120Z,,v3,560,6304,809561,"Chavez, Santiago",622700,Right,ACE_MEX,5fe7ee1c-e06a-4710-a806-45f817c54bfa,55.01231,-133.35437,13.9883,5.70954,-3.17446,-12.1491,-1.07812,4.3012,-6.63144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
