PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-24,20:31:43.53,1,1,"Payan, Luis",674478,Right,CHA_JAL1,"Stowers, Josh",663618,Right,VAQ_LAG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.75259,-2.944074,-1.655545,2065.239883,211.089693,1:00,6.48813,0.93211,5.51097,-18.69111,16.84147,9.56071,2.17392,0.18028,82.41248,-6.411998,0.048435,0.429027,,,,,,,,,,,,-5.235,9.52162,-0.79441,50,6.21867,3.3138,-128.87417,-7.25111,-8.94308,22.82236,-15.90806,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,0bea2570-2175-11f0-a274-7bf281b65401,87.8556,,,6.34011,,,,,,,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:31:43.53,2025-04-24T20:31:43.5322880-05:00,2025-04-25T01:31:43.5322880Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,e3cbaf09-f81a-40a1-b571-596fbdd3ce08,54.98835,-129.75455,11.41118,6.48655,-6.63744,-7.95403,-0.92889,3.65879,-4.47154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-24,20:31:59.11,1,2,"Payan, Luis",674478,Right,CHA_JAL1,"Stowers, Josh",663618,Right,VAQ_LAG,Undefined,1,Top,0,0,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.56574,-2.671752,-0.071416,2036.034095,192.979871,12:30,6.50999,0.78312,5.67191,-19.37253,15.26233,3.29918,2.40292,0.99147,83.21204,-6.267377,0.518667,0.423573,,,,,,,,,,,,-1.69693,8.69241,-0.77921,50,6.27217,0.02133,-130.15464,-6.71537,-2.95693,23.26543,-17.02728,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,15357300-2175-11f0-a274-7bf281b65401,88.9869,,,6.3537,,,,,,,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:31:59.11,2025-04-24T20:31:59.1168000-05:00,2025-04-25T01:31:59.1168000Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,d5fbcc81-80c6-4548-b352-05e1299cb034,54.82687,-131.01461,11.63271,6.50876,-6.08598,-8.51364,-0.78202,0.13062,-1.47847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-24,20:32:17.96,1,3,"Payan, Luis",674478,Right,CHA_JAL1,"Stowers, Josh",663618,Right,VAQ_LAG,Undefined,1,Top,0,0,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.71606,-2.255751,-0.492512,1982.87564,211.352255,1:00,6.47406,1.00099,5.6165,-21.27903,14.09265,7.99583,2.59441,1.20765,82.39626,-6.19288,0.936255,0.428055,93.97338,-0.337897,-56.401834,5102.774752,,,,57.33539,53.04358,-58.050485,0.413399,-4.21347,8.00363,-0.96439,50,6.26774,0.77508,-128.96462,-5.7999,-7.20094,23.10814,-18.49567,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,206510f0-2175-11f0-a274-7bf281b65401,88.05517,3.02473,,6.31981,,,,2.35743,3.02473,-1.68921,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:32:17.96,2025-04-24T20:32:17.9611648-05:00,2025-04-25T01:32:17.9611648Z,GroundBall,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,d91b0700-0c11-4561-9391-5451e24169eb,54.88364,-129.83673,11.55407,6.47346,-5.10187,-9.24783,-0.99877,1.04685,-3.60047,,2.36643,75.97786,-20.15271,,,,,,,3.02798,-0.91738,-15.51734,,,,,,,-1.68531,-114.92653,3.17299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
4,2025-04-24,20:32:41.30,1,4,"Payan, Luis",674478,Right,CHA_JAL1,"Stowers, Josh",663618,Right,VAQ_LAG,Undefined,1,Top,0,0,2,Undefined,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,80.13076,-5.070643,-2.493461,1606.994557,258.312859,2:30,6.616,0.45214,5.8047,-39.70254,3.94351,12.90993,-1.425,-0.79238,74.92918,-12.232156,-0.171324,0.475493,,,,,,,,,,,,-7.41772,3.58232,-0.25576,50,6.1741,4.60066,-116.03074,-11.55307,-10.1833,20.28555,-27.25611,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,2e4d8d50-2175-11f0-a274-7bf281b65401,79.27026,,,5.20158,,,,,,,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:32:41.30,2025-04-24T20:32:41.3084672-05:00,2025-04-25T01:32:41.3084672Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,b6deb5fe-27eb-4915-9128-c0fa68706015,54.69775,-116.84916,10.14278,6.61803,-10.45342,-13.62805,-0.44967,5.0115,-5.09165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-24,20:33:06.12,1,5,"Payan, Luis",674478,Right,CHA_JAL1,"Stowers, Josh",663618,Right,VAQ_LAG,Undefined,1,Top,0,1,2,Undefined,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.23386,-0.477452,-0.460714,2759.459593,25.560653,6:45,6.63712,0.70469,5.12236,-58.48806,-9.58914,-5.21862,1.31339,-0.16415,71.38518,-10.950038,-1.388081,0.503293,,,,,,,,,,,,2.5074,-4.33618,-0.65713,50,6.54598,1.09099,-110.86488,-2.95787,3.15229,17.94265,-37.62547,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,3d226580-2175-11f0-a274-7bf281b65401,74.89161,,,4.84868,,,,,,,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:33:06.12,2025-04-24T20:33:06.1230000-05:00,2025-04-25T01:33:06.1230000Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,71d15ddd-1c98-473c-8d3c-26352edf8a80,55.38065,-111.7323,8.97133,6.64501,-1.13889,-18.81273,-0.70619,0.9386,1.57615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5288,,,1.112256,,,,-5.36947,4.04348,4.80591,74.7656,4.83045,50.22859,-5.32636,77.55293,-5.00209,4.07416,16.78297,-14.49097,4.81027,41.85187,-0.91652,High,High,High,,,High,High,High
6,2025-04-24,20:33:40.07,2,1,"Payan, Luis",674478,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.21916,-2.884745,-0.899266,2078.755348,210.812356,1:00,6.46214,0.98329,5.5015,-20.8656,13.27095,7.40154,2.02268,0.75895,84.43386,-6.714341,0.420547,0.420515,67.99309,55.170408,-129.170361,4658.520137,,,,,23.28215,,,-3.97016,7.61689,-0.91001,50,6.19579,1.74251,-131.15834,-7.35077,-7.07466,21.76259,-18.60106,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,51557290-2175-11f0-a274-7bf281b65401,89.63407,32.03706,,5.7853,,,,1.7262,2.20582,-0.81571,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:33:40.07,2025-04-24T20:33:40.0737792-05:00,2025-04-25T01:33:40.0737792Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,ea0c97c6-1361-4c46-ac06-458b8025938b,54.99936,-131.98525,10.88129,6.46167,-6.64398,-9.30053,-0.98133,2.01133,-3.53733,,1.73396,-36.22048,-1.71772,,,,,,,2.22342,81.30869,-28.25436,,,,,,,-0.82275,-43.93686,7.04811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-04-24,20:34:02.00,2,2,"Payan, Luis",674478,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,0,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.82121,-2.083238,-2.969953,1942.514608,227.03779,1:30,6.46939,1.02244,5.63242,-24.30954,10.07902,9.86536,2.49648,-0.92887,83.80713,-6.546495,-1.209454,0.422064,,,,,,,,,,,,-5.67492,5.8665,-0.77609,50,6.27616,6.34783,-130.4829,-5.6162,-9.98624,22.12799,-21.85069,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,5e6ff090-2175-11f0-a274-7bf281b65401,89.30504,,,6.01408,,,,,,,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:34:02.00,2025-04-24T20:34:02.0094464-05:00,2025-04-25T01:34:02.0094464Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,e560ac31-7876-484d-b629-97afc27949b4,54.86763,-131.30579,11.06399,6.46991,-4.80363,-10.92534,-1.01906,6.71919,-4.99312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-24,20:34:25.28,2,3,"Payan, Luis",674478,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,0,2,Undefined,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,81.00543,-4.305032,-1.483174,1578.35329,231.569713,1:45,6.5439,0.62594,5.98427,-37.23203,5.09303,4.85516,-0.55776,-0.34446,75.50579,-11.08124,-0.60721,0.468242,,,,,,,,,,,,-2.92677,4.05819,-0.5117,50,6.18241,2.86984,-117.48327,-9.99953,-4.11616,20.95257,-26.4667,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,6c3888e0-2175-11f0-a274-7bf281b65401,80.49783,,,5.49964,,,,,,,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:34:25.28,2025-04-24T20:34:25.2851200-05:00,2025-04-25T01:34:25.2851200Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,82569cd1-d260-4f2c-bfab-0efa148ea5c1,54.5166,-118.28604,10.47629,6.5461,-8.98549,-13.23335,-0.62467,3.02754,-2.05808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-24,20:34:50.52,2,4,"Payan, Luis",674478,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.53434,-2.28127,-1.736492,1666.937524,270.78275,3:00,6.7605,0.58739,5.82125,-42.91715,1.10205,13.03241,1.06109,0.05851,73.98358,-10.099669,0.606926,0.477521,,,,,,,,,,,,-7.19335,1.48473,-0.45344,50,6.54793,3.03034,-115.55576,-5.97289,-9.78587,20.30172,-30.15421,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,7b591010-2175-11f0-a274-7bf281b65401,78.93359,,,5.55076,,,,,,,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:34:50.52,2025-04-24T20:34:50.5210880-05:00,2025-04-25T01:34:50.5210880Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,05cf11ab-948b-42d8-b503-de8c69d5f963,54.67993,-116.37506,10.15086,6.76442,-4.75598,-15.07711,-0.5837,3.42527,-4.89293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-24,20:35:14.46,2,5,"Payan, Luis",674478,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,2,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.81867,-0.380571,-1.8262,2019.150918,223.585715,1:30,6.42591,0.96235,5.90581,-22.63111,11.61461,10.13182,4.18655,0.11097,82.89762,-4.601706,-0.007738,0.421187,,,,,,,,,,,,-5.6237,6.35343,-0.82136,50,6.38231,3.73271,-130.57784,-1.61596,-9.8163,24.665,-21.08398,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250424-Panamericano-1,898217e0-2175-11f0-a274-7bf281b65401,89.49107,,,6.92105,,,,,,,60392e49-2c1a-48ab-8806-2638afe5dac7,2025-04-25,01:35:14.46,2025-04-24T20:35:14.4689664-05:00,2025-04-25T01:35:14.4689664Z,,v3,6304,447,809139,"Mendivil, Carlos",641104,Right,CHA_JAL1,a7bf1f6f-4765-4395-8920-9dca335ca31f,54.59227,-131.44241,12.3325,6.426,-0.87691,-10.54199,-0.95823,4.0768,-4.90815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
