PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-25,20:47:10.98,1,1,"Rios, Wilmer",658140,Right,ACE_MEX,"Casey, Donovan",661541,Right,SUL_MON,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.75458,-0.520156,-1.489437,1195.635877,196.032013,12:30,5.94031,1.13566,5.30719,-17.12095,16.89816,4.53673,4.02513,0.11531,83.47455,-3.746104,-0.684387,0.419791,,,,,,,,,,,,-2.68421,8.9265,-1.00386,50,5.88107,3.24521,-133.08058,-1.78309,-4.80208,29.20725,-16.20445,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,5f1b95a0-2240-11f0-9aea-118721a89585,89.78864,,,8.28002,,,,,,,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:47:10.98,2025-04-25T20:47:10.9860000-05:00,2025-04-26T01:47:10.9860000Z,,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,dc6f27dc-c9fa-4868-a59c-8c981e5d0a10,55.18842,-134.21446,14.60363,5.93808,-1.15401,-8.10222,-1.13346,3.43163,-2.40104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-25,20:47:23.98,1,2,"Rios, Wilmer",658140,Right,ACE_MEX,"Casey, Donovan",661541,Right,SUL_MON,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.83223,-2.730422,-2.737737,2388.828875,200.104888,12:45,5.88261,1.03358,5.59253,-19.77269,14.20312,4.8426,1.68066,-1.12103,84.0553,-6.395021,-1.874469,0.419524,,,,,,,,,,,,-3.12327,8.17272,-0.80185,50,5.63518,6.0886,-131.77762,-6.96875,-5.55873,24.818,-17.62847,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,66ddd230-2240-11f0-9aea-118721a89585,89.8458,,,6.77693,,,,,,,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:47:23.98,2025-04-25T20:47:23.9840000-05:00,2025-04-26T01:47:23.9840000Z,,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,819f8cd3-a3d4-4b83-9307-b6f865fb75cc,54.90617,-132.69839,12.409,5.88159,-6.31472,-8.81424,-1.03157,6.29483,-2.77936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-25,20:47:46.58,1,3,"Rios, Wilmer",658140,Right,ACE_MEX,"Casey, Donovan",661541,Right,SUL_MON,Undefined,1,Top,0,2,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.69037,0.508769,-0.859289,1497.766937,99.43912,9:15,5.48501,1.41356,4.79175,-42.91498,3.54504,-11.43036,2.39098,-0.35335,72.19736,-7.284752,-2.870387,0.490582,53.18876,32.458526,133.536318,4091.255136,,,,131.7625,47.17692,137.817788,2.344085,5.39185,1.9976,-1.31716,50,5.49862,2.21546,-115.42806,-0.54093,7.16789,24.42246,-29.51847,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,74587190-2240-11f0-9aea-118721a89585,76.83216,25.10373,,7.493,,,,3.29922,2.4968,0.17922,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:47:46.58,2025-04-25T20:47:46.5800000-05:00,2025-04-26T01:47:46.5800000Z,GroundBall,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,d0c72c5b-af5d-4cc0-9f6c-bb7f5a54c383,55.70598,-116.62909,12.21123,5.48952,0.91072,-14.75924,-1.41744,1.86297,3.58394,309.59802,3.2993,-45.34575,0.56755,0.06786,0.28762,-0.30495,0.15951,-0.04145,0.00429,2.49684,41.86516,-20.77523,1.52191,-0.23542,-0.00694,0.01383,-0.0018,-8E-05,0.17916,47.7217,-5.69642,1.11121,-0.56127,0.44928,-0.26062,0.07611,-0.00854,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2025-04-25,20:48:03.48,1,4,"Rios, Wilmer",658140,Right,ACE_MEX,"Casey, Donovan",661541,Right,SUL_MON,Undefined,1,Top,0,2,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.28371,0.279492,-0.929004,1324.340286,99.244529,9:15,5.52794,1.48956,4.85573,-41.38195,3.67,-13.94268,2.34404,-0.55176,73.73105,-7.207668,-3.384882,0.48309,,,,,,,,,,,,6.59603,2.17122,-1.38552,50,5.52046,2.48908,-116.47034,-0.96105,9.06054,21.87326,-29.19155,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,7e6e8930-2240-11f0-9aea-118721a89585,78.02363,,,6.55266,,,,,,,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:48:03.48,2025-04-25T20:48:03.4800000-05:00,2025-04-26T01:48:03.4800000Z,,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,dad90768-7d53-4f57-a5c6-276a61ad1501,55.64224,-117.52518,10.93663,5.53286,0.44672,-14.59578,-1.49503,2.05214,4.53027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-25,20:48:16.84,1,5,"Rios, Wilmer",658140,Right,ACE_MEX,"Casey, Donovan",661541,Right,SUL_MON,Undefined,1,Top,0,2,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.35305,-0.456345,-2.077827,2336.004248,201.23254,12:45,5.79156,1.1438,5.25257,-20.65517,13.59434,4.86685,3.64121,-0.40387,83.53244,-4.294458,-1.215407,0.42121,,,,,,,,,,,,-2.9889,7.23937,-0.95692,50,5.7347,4.57912,-132.52485,-1.80413,-5.3282,27.68948,-19.26875,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,865cded0-2240-11f0-9aea-118721a89585,89.48609,,,7.8206,,,,,,,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:48:16.84,2025-04-25T20:48:16.8450000-05:00,2025-04-26T01:48:16.8450000Z,,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,27079d58-e37a-40f2-9076-714621205704,55.24413,-133.61605,13.84474,5.79084,-1.04478,-9.63438,-1.14152,4.78909,-2.6641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.72664,2.656723,1.392026,1.264697,-0.98764,3.45647,0.45407,-5.23964,5.68301,4.35006,74.08847,9.40482,50.90983,-5.17356,67.54674,-3.84472,5.7622,22.22349,-15.28096,4.36852,38.63652,-1.44941,High,High,High,,,High,Medium,High
6,2025-04-25,20:48:44.16,2,1,"Rios, Wilmer",658140,Right,ACE_MEX,"Santos, Luis",676021,Right,SUL_MON,Undefined,1,Top,1,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.64309,-0.216712,-0.032371,1286.484003,99.76947,9:15,5.53403,1.408,4.93052,-40.85234,3.49126,-12.51457,1.92482,0.33451,74.35319,-7.605654,-2.241927,0.479277,,,,,,,,,,,,6.17441,2.19866,-1.39397,50,5.47908,0.59936,-117.07533,-1.94651,8.60295,21.30015,-29.1106,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,96aa9b60-2240-11f0-9aea-118721a89585,78.64433,,,6.2899,,,,,,,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:48:44.16,2025-04-25T20:48:44.1600000-05:00,2025-04-26T01:48:44.1600000Z,,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,6f41600e-a55d-445a-b70a-c2f9f566bc08,55.56816,-118.08403,10.65007,5.53862,-0.56793,-14.5553,-1.41271,0.19196,4.30148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-25,20:48:58.64,2,2,"Rios, Wilmer",658140,Right,ACE_MEX,"Santos, Luis",676021,Right,SUL_MON,Undefined,1,Top,1,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.20284,-1.667297,-2.518537,2347.176082,201.880947,12:45,5.80815,1.17692,5.48845,-22.39174,10.76512,3.93323,2.38045,-0.85295,85.00795,-5.800047,-1.818534,0.414437,,,,,,,,,,,,-2.61752,6.15914,-0.95893,50,5.64686,5.70565,-133.8117,-4.71844,-4.78755,26.49901,-20.90867,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,9f48b900-2240-11f0-9aea-118721a89585,90.94862,,,7.1949,,,,,,,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:48:58.64,2025-04-25T20:48:58.6440000-05:00,2025-04-26T01:48:58.6440000Z,,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,6fba1975-24ad-42d9-bdea-590a32684fea,55.00941,-134.80008,13.24951,5.8083,-3.93858,-10.45434,-1.17508,5.88422,-2.39377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-25,20:49:26.48,2,3,"Rios, Wilmer",658140,Right,ACE_MEX,"Santos, Luis",676021,Right,SUL_MON,Undefined,1,Top,1,1,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.02994,-2.238199,-2.684635,2392.24661,203.743375,12:45,5.82519,1.09286,5.45585,-17.42682,15.32544,6.29792,2.27446,-0.89719,85.38753,-5.493886,-1.56494,0.4119,,,,,,,,,,,,-3.87355,8.61607,-0.86048,50,5.61583,6.03226,-134.89178,-5.87853,-7.17398,27.91974,-16.21662,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,afda5c60-2240-11f0-9aea-118721a89585,91.50868,,,7.64241,,,,,,,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:49:26.48,2025-04-25T20:49:26.4870000-05:00,2025-04-26T01:49:26.4870000Z,,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,5d784613-737e-474a-bfc1-0ddec1a02b09,55.04163,-135.93128,13.95987,5.82346,-5.27476,-8.10831,-1.09004,6.29936,-3.58699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-25,20:49:41.70,2,4,"Rios, Wilmer",658140,Right,ACE_MEX,"Santos, Luis",676021,Right,SUL_MON,Undefined,1,Top,1,1,2,Undefined,Slider,InPlay,Undefined,GroundBall,Single,0,0,,82.35764,-0.510233,-1.254037,1332.124495,112.44201,9:45,5.45915,1.43364,5.0667,-36.13703,6.9176,-13.068,1.96653,-0.83795,74.66434,-7.118685,-3.564235,0.47226,57.76866,-11.222035,52.044539,,,,,10.58111,10.42801,46.660058,0.107424,6.11996,4.02063,-1.3036,50,5.38244,3.17113,-119.32114,-2.35923,8.6962,26.04105,-26.46087,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,b8f23de0-2240-11f0-9aea-118721a89585,79.81284,2.05376,,7.69329,,,,1.88596,2.05376,0.79701,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:49:41.70,2025-04-25T20:49:41.7060000-05:00,2025-04-26T01:49:41.7060000Z,GroundBall,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,63b13db4-115d-4e68-bdd2-bffd960f6e3a,55.43025,-120.50043,13.02053,5.46215,-1.16093,-13.23043,-1.43829,2.77732,4.3481,357.3053,1.88599,51.11164,-9.92807,,,,,,,2.05402,-16.52108,-24.22097,,,,,,,0.79704,65.52587,-12.18062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-04-25,20:50:42.07,3,1,"Rios, Wilmer",658140,Right,ACE_MEX,"Mendoza, Victor",628013,Left,SUL_MON,Undefined,1,Top,1,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.38186,-1.538096,-2.375348,2316.736598,213.113922,1:00,5.73925,1.12716,5.73368,-18.30532,14.42174,8.77367,2.7799,-0.35497,85.00566,-4.967113,-0.806618,0.411742,80.14902,66.258165,-33.67635,,,,,,34.86861,,,-5.10658,8.05,-0.9348,50,5.5998,5.18302,-134.15965,-4.21687,-9.37558,27.02377,-17.39438,ACE_MEX,SUL_MON,Monclova,Undefined Level,MEX,20250425-Monclova-1,dcea9da0-2240-11f0-9aea-118721a89585,91.54392,74.09194,,7.3762,,,,1.26421,2.68432,-0.02216,4ee4c39a-4a9b-4c23-bf33-b6b5a5c14d2d,2025-04-26,01:50:42.07,2025-04-25T20:50:42.0730000-05:00,2025-04-26T01:50:42.0730000Z,,v3,560,562,809565,"Chavez, Santiago",622700,Right,ACE_MEX,0ab0910f-b89d-416b-8fcf-a625badcffa1,54.76573,-135.11621,13.51188,5.73817,-3.60116,-8.69719,-1.12413,5.51488,-4.68779,,1.26421,39.38506,-14.1835,4.22631,-0.44278,-1.06196,1.10241,-0.19685,-0.1367,2.68432,107.60326,-28.41667,3.45359,-0.71336,0.35194,-0.33036,0.17788,-0.03332,-0.02216,-26.244,-2.79421,1.58433,-0.11314,-0.76035,0.80444,-0.19833,-0.06674,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
