PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,20:31:14.66,1,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Martin, Rudy",657675,Left,TOR_TIJ,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.94977,-0.453713,-3.980465,2511.875023,222.745653,1:30,5.64827,3.22776,6.51669,-19.90135,11.13536,9.56587,3.5725,0.36672,86.54073,-4.193076,-2.24932,0.400968,,,,,,,,,,,,-5.8852,6.20296,-2.95402,50,5.60769,9.02519,-135.12508,-1.67599,-11.11322,23.55396,-20.46079,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,cea30be0-2562-11f0-a23d-5748d1941864,94.00372,,,6.40904,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:31:14.66,2025-04-29T20:31:14.6600448-05:00,2025-04-30T01:31:14.6600448Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,60839a62-6cb0-407e-b845-d72d02fa93ea,53.98329,-135.81764,11.77698,5.64812,-1.07438,-10.23039,-3.2242,9.35196,-5.55661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,20:31:29.24,1,2,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Martin, Rudy",657675,Left,TOR_TIJ,Undefined,1,Top,0,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.5591,0.333454,-2.563203,2261.123806,242.570181,2:00,5.54308,3.24313,6.37874,-25.18749,6.82146,11.63725,3.75121,1.85326,85.45033,-4.356588,-0.457291,0.407199,,,,,,,,,,,,-6.6165,3.75437,-3.06345,50,5.55528,5.50562,-133.30466,-0.04055,-12.18182,22.42409,-25.26175,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,d756d460-2562-11f0-a23d-5748d1941864,92.56507,,,6.10878,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:31:29.24,2025-04-29T20:31:29.2442624-05:00,2025-04-30T01:31:29.2442624Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,a5ccd98a-2885-4a8f-9062-37691065ca8c,54.12183,-133.99622,11.21204,5.54452,0.73853,-12.63087,-3.23904,5.88132,-6.09091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-29,20:31:46.32,1,3,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Martin, Rudy",657675,Left,TOR_TIJ,Undefined,1,Top,0,1,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.75279,-0.614667,-4.456145,2560.7208,211.040944,1:00,5.60113,3.23758,6.44633,-19.72048,11.60071,6.50052,3.39127,-0.32324,86.31936,-4.314863,-3.282966,0.402801,,,,,,,,,,,,-4.38036,6.47138,-2.92394,50,5.54831,10.24003,-134.72139,-2.05132,-8.2161,23.62368,-20.03592,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,e186dca0-2562-11f0-a23d-5748d1941864,93.57582,,,6.43344,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:31:46.32,2025-04-29T20:31:46.3283712-05:00,2025-04-30T01:31:46.3283712Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,b534c28a-fac9-43f2-be42-1ce5dc437754,54.0532,-135.43026,11.81184,5.60084,-1.45011,-10.01796,-3.23491,10.48657,-4.10805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-29,20:32:03.26,1,4,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Martin, Rudy",657675,Left,TOR_TIJ,Undefined,1,Top,0,2,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.51229,-1.011061,-3.06748,2312.18053,209.756462,1:00,5.50717,3.29724,6.54534,-23.48781,8.43548,4.36752,2.62123,0.84545,85.44812,-5.397594,-2.275274,0.406654,,,,,,,,,,,,-2.96374,4.92063,-3.08674,50,5.42694,6.96786,-133.15425,-3.0783,-5.43557,22.81508,-23.14944,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,ebbc1500-2562-11f0-a23d-5748d1941864,92.68917,,,6.06417,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:32:03.26,2025-04-29T20:32:03.2682496-05:00,2025-04-30T01:32:03.2682496Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,dea213fe-0be0-4760-b1d0-2cfc68636964,53.95462,-133.83013,11.40754,5.50798,-2.39251,-11.57472,-3.29554,7.12889,-2.71779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-29,20:32:28.54,1,5,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Martin, Rudy",657675,Left,TOR_TIJ,Undefined,1,Top,0,2,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.72451,0.203847,-2.954273,2558.959605,42.925142,7:30,5.53289,3.19316,6.03357,-43.26412,-5.40059,-6.09587,2.11657,-0.05289,78.84663,-7.736971,-4.050105,0.442876,,,,,,,,,,,,2.32347,-2.5441,-2.95902,50,5.52525,6.66165,-124.49129,-1.02833,3.63971,25.41349,-36.15938,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,facce4c0-2562-11f0-a23d-5748d1941864,85.10838,,,6.87788,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:32:28.54,2025-04-29T20:32:28.5483520-05:00,2025-04-30T01:32:28.5483520Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,141eece7-9bd3-43df-bf3d-6617ae406db2,54.46678,-125.39981,12.70675,5.5389,0.26436,-18.07969,-3.19485,6.53153,1.81986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-29,20:32:55.42,1,6,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Martin, Rudy",657675,Left,TOR_TIJ,Undefined,1,Top,0,2,2,Undefined,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.39264,-1.405761,-3.739578,2337.635626,239.081958,2:00,5.42789,3.33868,6.64573,-24.16155,6.20756,9.20174,2.12472,0.67777,87.79177,-5.901503,-2.068226,0.396632,,,,,,,,,,,,-5.61685,3.78744,-3.08994,50,5.32291,8.53558,-135.8997,-4.10152,-10.80719,21.72437,-24.88673,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,0acde0e0-2563-11f0-a23d-5748d1941864,95.03133,,,5.60087,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:32:55.42,2025-04-29T20:32:55.4200000-05:00,2025-04-30T01:32:55.4200000Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,84797b75-c008-440e-8e8d-98c84b0fc220,53.85592,-136.5147,10.86219,5.42905,-3.39699,-12.44337,-3.3359,8.84153,-5.4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4588,2.564997,1.613312,0.951685,-0.96056,1.87424,-0.59349,-0.23141,5.59609,-3.84643,73.70216,6.00835,-51.29003,-0.18554,82.29562,-4.87163,5.63639,13.76904,-14.03669,-3.89784,-54.36154,4.7709,High,High,High,,,High,High,High
7,2025-04-29,20:33:23.22,2,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Perez, Hernan",541650,Right,TOR_TIJ,Undefined,1,Top,1,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.59386,-0.404257,-3.504482,2587.466644,89.614499,9:00,5.55502,3.39738,6.02117,-36.85494,1.1141,-4.66985,2.10864,-0.24171,78.79782,-7.187998,-4.342541,0.443492,,,,,,,,,,,,1.4365,1.05744,-3.12027,50,5.50343,7.7921,-124.20281,-2.1139,2.24682,24.57734,-30.5201,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,1b493d20-2563-11f0-a23d-5748d1941864,84.99003,,,6.79604,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:33:23.22,2025-04-29T20:33:23.2220672-05:00,2025-04-30T01:33:23.2220672Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,10b3b2b4-dc7e-41cf-bc32-388d9e6e7e23,54.47696,-125.08557,12.28867,5.55967,-1.01768,-15.26005,-3.3987,7.71139,1.12341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-29,20:33:36.62,2,2,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Perez, Hernan",541650,Right,TOR_TIJ,Undefined,1,Top,1,0,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.04836,-0.467135,-4.091422,2634.113711,68.937377,8:15,5.49239,3.12978,6.0351,-38.49837,-1.15083,-5.68611,1.85053,-1.13902,79.82611,-7.518505,-5.110804,0.439848,,,,,,,,,,,,1.88437,-0.12827,-2.80701,50,5.43512,9.15704,-124.87775,-2.32787,3.00013,23.20742,-32.37825,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,234b41d0-2563-11f0-a23d-5748d1941864,85.6943,,,6.22224,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:33:36.62,2025-04-29T20:33:36.6249472-05:00,2025-04-30T01:33:36.6249472Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,e205a268-783b-46d8-a069-89871548dc5d,54.46444,-125.70469,11.60371,5.49752,-1.17415,-16.18912,-3.1314,9.05014,1.50007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-29,20:33:52.13,2,3,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Perez, Hernan",541650,Right,TOR_TIJ,Undefined,1,Top,1,0,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.20533,0.150534,-4.96493,2464.887533,209.480178,1:00,5.55415,3.21731,6.423,-21.386,9.56359,4.98811,3.91087,-0.9422,87.08723,-3.838172,-4.066643,0.400404,,,,,,,,,,,,-3.63047,5.22248,-2.86475,50,5.55495,11.55721,-135.33767,-0.32086,-6.90546,22.46082,-22.24049,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,2c8180c0-2563-11f0-a23d-5748d1941864,94.13595,,,6.1181,,,,,,,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:33:52.13,2025-04-29T20:33:52.1389056-05:00,2025-04-30T01:33:52.1389056Z,,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,d0a40517-3f05-4fa0-b53b-8221d5624c24,54.07689,-136.01259,11.23041,5.55455,0.34744,-11.12024,-3.21514,11.76471,-3.45273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-29,20:34:09.69,2,4,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Perez, Hernan",541650,Right,TOR_TIJ,Undefined,1,Top,1,1,2,Undefined,Slider,InPlay,Undefined,LineDrive,Double,0,0,,84.86774,-0.613807,-3.480389,2646.713439,90.169297,9:00,5.51238,3.09513,6.22224,-36.68758,0.92472,-5.36898,1.88765,-0.56759,79.63931,-7.345617,-4.447631,0.441404,89.32566,22.652975,8.232543,3380.552551,107.97537,38.5004,21.00537,334.56913,331.29954,15.308708,3.951582,2.05087,0.86906,-2.83191,50,5.44774,7.70182,-123.43418,-2.49223,3.22981,19.7835,-30.80542,CHA_JAL1,TOR_TIJ,Panamericano,Undefined Level,MEX,20250429-Panamericano-1,371ef0d0-2563-11f0-a23d-5748d1941864,85.39215,47.57994,,5.22842,,,,1.29341,1.86785,0.58504,7206f9f0-8bcb-47ed-94e5-d55f1d8401cd,2025-04-30,01:34:09.69,2025-04-29T20:34:09.6956416-05:00,2025-04-30T01:34:09.6956416Z,LineDrive,v3,6304,5010,809141,"Mendivil, Carlos",641104,Right,CHA_JAL1,638b4ada-3fe2-48de-a7ca-c40095144b54,54.27951,-124.11819,9.89175,5.51549,-1.42715,-15.40271,-3.09626,7.59016,1.6149,215.726108,1.29407,119.6423,-18.05452,3.7856,-0.69627,0.11311,-0.02387,0.00489,-0.00042,1.86782,50.45589,-14.58867,0.14368,0.29141,-0.17996,0.06606,-0.01205,0.00084,0.58499,17.31366,3.92234,-1.66584,0.49593,-0.1127,0.02033,-0.00244,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
